postId,postedAt,postType,caption,reach,impressions,reactions,comments,shares,clickThroughs,engagementRate
fb_2026_05_28_001,2026-05-28T20:15:00+10:00,video,"Live walkthrough: 3 agent skills you can install today",4820,7140,312,46,28,124,7.85
fb_2026_05_27_001,2026-05-27T11:00:00+10:00,image,"New workshop dates announced for June + July",1240,1860,68,9,4,21,6.53
fb_2026_05_25_002,2026-05-25T19:45:00+10:00,video,"Workshop attendee shipped a Telegram bot in 4 hours — here's how",6210,9320,541,82,67,219,9.51
fb_2026_05_25_001,2026-05-25T09:00:00+10:00,link,"Read the new agent-stack architecture writeup on our blog",520,710,11,2,1,38,2.69
fb_2026_05_22_001,2026-05-22T20:00:00+10:00,carousel,"5 things to know before your first agent build",2840,4220,164,23,15,58,9.16
fb_2026_05_20_001,2026-05-20T13:30:00+10:00,image,"Team photo from the May Saturday workshop ☕",890,1100,52,11,3,4,7.87
fb_2026_05_18_001,2026-05-18T20:30:00+10:00,video,"Behind the scenes — how we built the kit-vetting dashboard",3450,5180,228,34,19,89,9.30
fb_2026_05_15_001,2026-05-15T11:00:00+10:00,event,"Free intro session this Wednesday 7pm AEST — RSVP",1670,2310,89,18,12,142,12.51
fb_2026_05_12_001,2026-05-12T20:00:00+10:00,video,"Why we open-source the workshop kit (and what that means for you)",2980,4480,198,29,22,76,8.36
fb_2026_05_10_001,2026-05-10T09:30:00+10:00,image,"Welcome to the May cohort 👋 12 attendees this round",1120,1450,74,15,6,11,9.46
fb_2026_05_08_002,2026-05-08T19:45:00+10:00,video,"Cohort wrap-up — what April attendees built",3920,5760,287,41,31,134,9.99
fb_2026_05_05_001,2026-05-05T11:15:00+10:00,link,"How to choose your first agent skill — new blog post",680,920,18,4,2,52,4.12
