businessName,category,postcode,totalScore,reviewsCount,address,phone,website,operatorTier
Bondi Body Co,Boutique fitness studio,2026,4.8,412,"12 Hall St, Bondi Beach NSW",+61293004221,bondibodyco.com.au,established
RisePilates Bondi,Pilates studio,2026,4.9,287,"203 Curlewis St, Bondi NSW",+61293008855,risepilates.com.au,established
Coast Strength Bondi,Gym,2026,4.6,189,"1/96 Bondi Rd, Bondi NSW",+61280683344,coaststrength.com,growing
Bondi Yoga House,Yoga studio,2026,4.7,156,"Shop 3, 38-40 Hall St, Bondi Beach NSW",+61293654477,bondiyogahouse.com,growing
Wavelength Pilates,Pilates studio,2026,4.5,98,"24 Glenayr Ave, Bondi NSW",+61293308822,wavelengthpilates.com,growing
The Boxing Bondi,Combat sports,2026,4.4,142,"187 Bondi Rd, Bondi NSW",+61293002211,theboxingbondi.com,growing
Bondi F45,F45 franchise,2026,4.6,267,"15 Hall St, Bondi Beach NSW",+61283223344,f45training.com.au/bondi,established
Movement Lab Bondi,Functional training,2026,4.7,87,"6/180 Bondi Rd, Bondi NSW",+61293355566,movementlabbondi.com,emerging
Sweat Republic Bondi,HIIT studio,2026,4.5,76,"Shop 2, 88 Curlewis St, Bondi NSW",+61283224488,sweatrepublic.com.au/bondi,emerging
Stretch & Strength Studio,Mobility studio,2026,4.8,42,"3/110 Bondi Rd, Bondi NSW",+61293001212,stretchandstrength.com.au,emerging
Bondi Climbing Co,Climbing gym,2026,4.7,134,"24 Bronte Rd, Bondi Junction NSW",+61293898844,bondiclimbingco.com,growing
Reformer Bondi,Pilates reformer,2026,4.9,201,"Level 1, 95 Hall St, Bondi Beach NSW",+61283228822,reformerbondi.com,established
Plunge Bondi,Cold-plunge studio,2026,4.6,38,"Shop 4, 156 Bondi Rd, Bondi NSW",+61283224422,plungebondi.com,emerging
The Surf Yoga Beer Co,Hybrid wellness,2026,4.5,67,"45 Wairoa Ave, North Bondi NSW",+61293015533,surfyogabeer.com,emerging
